0,0,18,70,275,496,1,0,1
0,1,18,551,258,646,1,0,1
0,2,1187,346,431,577,1,0,1
0,3,760,20,618,218,1,0,1
0,4,1322,24,590,322,1,0,1
0,5,1999,346,372,166,1,0,1
0,6,1885,549,407,293,1,0,1
0,7,1982,666,350,255,1,0,1
0,8,2184,771,178,412,1,0,1
1,0,18,70,275,496,1,0,1
1,1,18,551,258,646,1,0,1
1,2,1187,346,431,577,1,0,1
1,3,760,20,618,218,1,0,1
1,4,1330,33,585,313,1,0,1
1,5,2012,334,325,185,1,0,1
1,6,1885,549,407,293,1,0,1
1,7,1982,666,350,255,1,0,1
1,8,2165,778,194,413,1,0,1
2,0,18,70,275,496,1,0,1
2,1,18,551,258,646,1,0,1
2,2,1187,346,431,577,1,0,1
2,3,760,20,618,218,1,0,1
2,4,1330,33,585,313,1,0,1
2,5,2012,334,325,185,1,0,1
2,6,1885,549,407,293,1,0,1
2,7,1982,667,350,255,1,0,1
2,8,2165,778,194,412,1,0,1
3,0,18,70,275,496,1,0,1
3,1,18,551,258,646,1,0,1
3,2,1187,346,431,577,1,0,1
3,3,760,20,618,218,1,0,1
3,4,1330,33,585,313,1,0,1
3,5,2012,334,325,185,1,0,1
3,6,1885,549,407,293,1,0,1
3,7,1982,667,350,254,1,0,1
3,8,2164,779,195,411,1,0,1
4,0,18,70,275,496,1,0,1
4,1,18,551,258,646,1,0,1
4,2,1187,346,431,577,1,0,1
4,3,760,20,618,218,1,0,1
4,4,1330,33,585,313,1,0,1
4,5,2012,334,325,185,1,0,1
4,6,1885,549,407,293,1,0,1
4,7,1982,668,350,254,1,0,1
4,8,2164,779,195,410,1,0,1
5,0,18,70,275,496,1,0,1
5,1,18,551,258,646,1,0,1
5,2,1187,346,431,577,1,0,1
5,3,760,20,618,218,1,0,1
5,4,1330,33,585,313,1,0,1
5,5,2012,334,325,185,1,0,1
5,6,1885,549,407,293,1,0,1
5,7,1982,668,350,254,1,0,1
5,8,2163,779,196,409,1,0,1
6,0,18,70,275,496,1,0,1
6,1,18,551,258,646,1,0,1
6,2,1187,346,431,577,1,0,1
6,3,760,20,618,218,1,0,1
6,4,1330,33,585,313,1,0,1
6,5,2012,334,325,185,1,0,1
6,6,1885,549,407,293,1,0,1
6,7,1982,669,350,254,1,0,1
6,8,2163,780,196,407,1,0,1
7,0,18,70,275,496,1,0,1
7,1,18,551,258,646,1,0,1
7,2,1187,346,431,577,1,0,1
7,3,760,20,618,218,1,0,1
7,4,1330,33,585,313,1,0,1
7,5,2012,334,325,185,1,0,1
7,6,1885,549,407,293,1,0,1
7,7,1982,669,350,254,1,0,1
7,8,2162,780,196,406,1,0,1
8,0,18,70,275,496,1,0,1
8,1,18,551,258,646,1,0,1
8,2,1187,346,431,577,1,0,1
8,3,760,20,618,218,1,0,1
8,4,1330,33,585,313,1,0,1
8,5,2012,334,325,185,1,0,1
8,6,1885,549,407,293,1,0,1
8,7,1982,670,350,253,1,0,1
8,8,2162,780,197,405,1,0,1
9,0,18,70,275,496,1,0,1
9,1,18,551,258,646,1,0,1
9,2,1187,346,431,577,1,0,1
9,3,760,20,618,218,1,0,1
9,4,1330,33,585,313,1,0,1
9,5,2012,334,325,185,1,0,1
9,6,1885,549,407,293,1,0,1
9,7,1982,670,350,253,1,0,1
9,8,2162,780,197,404,1,0,1
10,0,18,70,275,496,1,0,1
10,1,18,551,258,646,1,0,1
10,2,1187,346,431,577,1,0,1
10,3,760,20,618,218,1,0,1
10,4,1330,33,585,313,1,0,1
10,5,2012,334,325,185,1,0,1
10,6,1885,549,407,293,1,0,1
